transcript,control_CDS_max,control_CDS_average,control_CDS_std,control_CDS_gini
PB2015.4896.1,2.154,0.2801005747126346,0.3941608802828063,0.681753756309
PB2015.10847.2,6.96633333333,0.9018068283916593,1.4506094234603315,0.742302001907
PB2015.6092.1,1.342,0.34321000000001,0.3123194814490855,0.504045951782
PB2015.6092.2,1.39666666667,0.34158457711439183,0.3244146314959356,0.523797370916
PB2015.10847.1,1.86233333333,0.3708896396397331,0.3783513834417654,0.545008431842
PB2015.4050.1,1.96233333333,0.16357949609039704,0.2855380294120182,0.762645995997
PB2015.12659.1,1.918,0.17062698412696886,0.31283947950880675,0.780593364994
PB2015.10163.2,1.34966666667,0.26702059202056483,0.3167922090856112,0.617115017347
PB2015.1248.2,1.725,0.21471381306866183,0.28375022068958045,0.651112384975
PB2015.8246.1,2.57166666667,0.15221545995104196,0.37271037595922674,0.86526024987
PB2015.1248.1,1.43466666667,0.18918285714290287,0.266080848600381,0.68405870144
PB2015.9581.4,1.75866666667,0.2338483146067118,0.3731854527043058,0.730385531599
PB2015.5750.5,1.80733333333,0.3830133333333557,0.3607610187405345,0.515490146238
PB2015.5750.2,1.79133333333,0.39799552572703595,0.3601647827703384,0.498044992292
PB2015.9581.3,2.007,0.1831146637265259,0.31117407585631557,0.74666432376
PB2015.8322.1,1.63666666667,0.2539741741742384,0.3099611379524404,0.619612117089
PB2015.8322.2,1.626,0.25201921921919046,0.3076638397167141,0.61950806893
PB2015.2528.1,2.04666666667,0.18850272412080438,0.28986703779334333,0.710708022369
PB2015.12206.2,1.482,0.4517695473250842,0.33839722200263683,0.424784960868
PB2015.12206.1,1.45066666667,0.45194263862329104,0.33523302478039085,0.421411319053
PB2015.11301.1,2.85033333333,0.18153163481947696,0.3431397506696028,0.782491785921
PB2015.9602.5,1.86233333333,0.2107867298577409,0.34117495098346223,0.73129276476
PB2015.3720.3,6.18266666667,0.29539420803765426,0.7591045614811776,0.867635754919
PB2015.3720.2,5.101,0.33390999010874484,0.7403108774880274,0.842005866613
PB2015.4066.2,1.46633333333,0.44726058631923943,0.3195540563426573,0.402448525299
PB2015.15173.1,1.54766666667,0.260019493177347,0.33524207768238756,0.649881636562
PB2015.15648.1,1.655,0.1884770642202101,0.27827188490865995,0.701136276758
PB2015.1375.18,1.94766666667,0.33080433263456255,0.38338950508728115,0.596780826443
PB2015.4997.2,2.504,0.30608057851236364,0.41695941030644795,0.666904249819
PB2015.781.5,1.378,0.3273522935780336,0.29458377528285334,0.495839179114
PB2015.13033.8,2.03566666667,0.2574725042301041,0.3354403428051819,0.644825665106
PB2015.13033.6,2.10666666667,0.26843020304572246,0.34939047369565,0.64465161025
PB2015.13033.7,2.07666666667,0.27540768905793195,0.34695485704396506,0.628825541706
PB2015.13033.4,2.163,0.2774636209813976,0.3633140465111728,0.646499488442
PB2015.13033.3,2.146,0.28723489649347445,0.3641627897194978,0.630866311889
PB2015.13033.1,2.236,0.29208027038440176,0.3661192453601233,0.627042623396
PB2015.529.1,1.27366666667,0.370601347848607,0.2888942121036703,0.436677993745
PB2015.3004.8,2.164,0.32225457875449726,0.3731703618326847,0.599202272286
PB2015.3004.9,2.07233333333,0.3091245421245247,0.3588403675698314,0.600151362425
PB2015.3004.6,2.313,0.3445247252747198,0.39963610164163443,0.599875092413
PB2015.11525.1,1.99866666667,0.3207380600689561,0.34816766476431804,0.567952770793
PB2015.3004.4,2.22366666667,0.3333562271062116,0.3854730658796914,0.59827956056
PB2015.394.1,1.63633333333,0.3305284552845433,0.3211492280427665,0.529604019209
PB2015.3004.2,2.53266666667,0.35693027698183666,0.4394758367160716,0.627861547599
PB2015.3004.3,2.44,0.3632518315018324,0.4212665569181438,0.599781343694
PB2015.3881.1,1.36533333333,0.3962447089946968,0.29199878233120147,0.417216624878
PB2015.13120.3,1.97,0.26079518731200524,0.3412987436951926,0.649439502907
PB2015.13120.1,1.97966666667,0.26554942339371373,0.32678648420850426,0.624280676788
PB2015.10375.2,1.508,0.41320477815697815,0.3801479410937554,0.508044346058
PB2015.10375.3,1.569,0.43395108077369865,0.3980619282305972,0.506982542554
PB2015.6229.10,1.413,0.46148992515831444,0.3191821647777699,0.390810119329
PB2015.10375.5,1.509,0.4135301478953289,0.3804535459014302,0.508055640527
PB2015.2037.2,1.42566666667,0.23380392156864152,0.343751295035778,0.708631183163
PB2015.6042.1,1.523,0.2184168406403132,0.2655724916172024,0.620200638766
PB2015.9898.1,1.81433333333,0.2840908366533386,0.33025668968281935,0.599274153813
PB2015.15928.1,1.73233333333,0.3182868751103667,0.2978643062367741,0.509700894488
PB2015.12624.1,1.769,0.17489208633095923,0.28362228708361736,0.727404583943
PB2015.13411.1,2.302,0.18472306579891976,0.3166985487632249,0.748521965111
PB2015.13411.6,2.19166666667,0.17609616775131015,0.30157162072539745,0.748202650445
PB2015.1930.1,1.94466666667,0.2780871212121789,0.32027287329637144,0.59227079554
PB2015.1930.2,1.93633333333,0.2771530303030477,0.3189941725756796,0.592024724036
PB2015.15928.6,1.73066666667,0.3217456279809483,0.2997029052683863,0.507826017427
PB2015.13842.2,1.333,0.48341025641028024,0.3712926864888678,0.438936093269
PB2015.13842.3,1.32433333333,0.48275510204078637,0.3562091823593089,0.421513463649
