transcript,control_fpUTR_max,control_fpUTR_average,control_fpUTR_std,control_fpUTR_gini
PB2015.4896.1,2.516,0.32746296296294,0.5525557447871281,0.711477941777
PB2015.10847.2,2.99433333333,0.6353194444440542,0.8100262483116347,0.649843509754
PB2015.6092.1,0.470333333333,0.135861111111075,0.14824763181748576,0.589569276903
PB2015.6092.2,0.497,0.14193518518515,0.15662877436642234,0.594430672436
PB2015.10847.1,0.718,0.12796153846151284,0.1902256942687334,0.713397763443
PB2015.4050.1,1.44833333333,0.19518434343440152,0.2964065518231355,0.712747224356
PB2015.12659.1,NA,NA,NA,NA
PB2015.10163.2,0.685333333333,0.1252658730157619,0.15790754595054823,0.631432086251
PB2015.1248.2,1.82333333333,0.44274786324775645,0.4700110872967088,0.574629311051
PB2015.8246.1,1.94033333333,0.21820938023443717,0.430680017841202,0.812115709775
PB2015.1248.1,1.86933333333,0.40099633699637366,0.4705936382825192,0.617751822133
PB2015.9581.4,1.366,0.29329487179478075,0.4397624584796134,0.719925286062
PB2015.5750.5,0.852,0.23606060606061366,0.2571016215461166,0.589050647683
PB2015.5750.2,0.847333333333,0.2995376344085677,0.26834382103883864,0.503724667571
PB2015.9581.3,2.13933333333,0.33013650793652377,0.4920073206649197,0.713654902597
PB2015.8322.1,0.765,0.07236111111115,0.15061130732807754,0.822388355726
PB2015.8322.2,0.759333333333,0.08537866666663999,0.16442509321331114,0.804442639848
PB2015.2528.1,2.038,0.31883333333340425,0.4129603520487874,0.637200214775
PB2015.12206.2,1.34766666667,0.28681896551732955,0.2862183121455842,0.543357371388
PB2015.12206.1,1.31833333333,0.28182471264363645,0.2812134777007786,0.543531691967
PB2015.11301.1,NA,NA,NA,NA
PB2015.9602.5,0.720666666667,0.1888555555555567,0.22093690541162414,0.620707575847
PB2015.3720.3,3.24166666667,0.6032463768108696,0.8839201234887141,0.705228588858
PB2015.3720.2,3.75666666667,0.5333782051276923,0.8599139368303487,0.740141361997
PB2015.4066.2,1.10633333333,0.20631007751925345,0.29056407224423986,0.688911763524
PB2015.15173.1,0.54,0.11069892473112901,0.14367726565298536,0.631762991744
PB2015.15648.1,1.145,0.2639316239316667,0.2536233402972252,0.499757539524
PB2015.1375.18,1.63333333333,0.6085444444441234,0.5381563209717635,0.494381249734
PB2015.4997.2,1.05666666667,0.1488157894738158,0.24653602155934404,0.745651263437
PB2015.781.5,1.18866666667,0.3250090090091,0.27472215269293176,0.458540978055
PB2015.13033.8,0.556333333333,0.05918115942030435,0.11095615852053561,0.789486853243
PB2015.13033.6,1.82266666667,0.10484196547148884,0.2711553744406802,0.864330785186
PB2015.13033.7,1.85,0.10830597014930597,0.2726592237928919,0.856251797582
PB2015.13033.4,1.933,0.201693430656927,0.3680719764108051,0.759916919908
PB2015.13033.3,1.976,0.23222629969415595,0.414194397279059,0.76490357537
PB2015.13033.1,0.61,0.116058333333275,0.15481634078797993,0.665385581963
PB2015.529.1,NA,NA,NA,NA
PB2015.3004.8,1.017,0.10952564102560898,0.1963257803259542,0.776473666149
PB2015.3004.9,0.892,0.06884291187741379,0.15312177508545594,0.839863460968
PB2015.3004.6,1.08933333333,0.10409308176102264,0.19819044409963,0.796598055341
PB2015.11525.1,NA,NA,NA,NA
PB2015.3004.4,1.79033333333,0.2027105831532916,0.299610471439765,0.698814168065
PB2015.394.1,NA,NA,NA,NA
PB2015.3004.2,1.18933333333,0.11960408684541378,0.2190957808248376,0.783948630774
PB2015.3004.3,1.149,0.11254151177197767,0.2089227548744129,0.787867339363
PB2015.3881.1,NA,NA,NA,NA
PB2015.13120.3,2.02866666667,0.4430158730157901,0.47066726500904477,0.565546783027
PB2015.13120.1,0.865333333333,0.21508602150531184,0.2373400179439307,0.582287925628
PB2015.10375.2,1.14066666667,0.25275641025648077,0.2924939996126117,0.59814471605
PB2015.10375.3,1.18733333333,0.2610691823900001,0.3069462040048655,0.605669013604
PB2015.6229.10,1.765,0.25442784626541576,0.3275878584787363,0.65722589202
PB2015.10375.5,1.14133333333,0.248169811320717,0.29207876097152025,0.605779010169
PB2015.2037.2,0.556333333333,0.04852380952377777,0.1239713899161624,0.877060714156
PB2015.6042.1,0.792666666667,0.24078666666672,0.18767446709662555,0.422951436957
PB2015.9898.1,NA,NA,NA,NA
