transcript,control_minus_DMS_fp_10_coverage
PB2015.108.10,632.522222222
PB2015.4570.2,588.951915741
PB2015.12680.1,529.241721854
PB2015.1909.1,445.022368421
PB2015.3468.6,424.553997981
PB2015.3286.6,401.032135307
PB2015.4576.1,389.4
PB2015.14264.2,375.637402597
PB2015.7642.1,363.765686275
PB2015.1477.1,363.496161228
PB2015.12091.1,355.565480427
PB2015.2535.1,355.404477391
PB2015.12036.1,351.51627907
PB2015.14267.3,350.611016949
PB2015.9370.1,345.413180516
PB2015.14757.18,344.052307692
PB2015.14913.1,343.552046784
PB2015.12653.1,340.181447503
PB2015.653.3,337.198687932
PB2015.11710.1,335.908571429
PB2015.7139.12,335.528556476
PB2015.12974.1,334.492492492
PB2015.930.4,332.417745201
PB2015.12050.1,331.607164179
PB2015.1234.1,329.616556291
PB2015.11461.1,329.357041081
PB2015.6740.1,328.784415584
PB2015.10362.1,328.747486034
PB2015.16244.1,328.651394422
PB2015.1998.1,327.164634146
PB2015.10322.3,325.866244726
PB2015.11618.18,325.346273898
PB2015.10235.1,324.602261307
PB2015.10327.1,318.72651357
PB2015.11025.3,318.196740517
PB2015.10044.2,317.167230206
PB2015.10161.1,315.748275862
PB2015.5967.1,310.89673913
PB2015.13229.6,303.326292976
PB2015.15274.2,299.756210136
PB2015.254.6,296.881242114
PB2015.7710.1,296.466983624
PB2015.11579.4,295.254188482
PB2015.1042.1,294.780669145
PB2015.3021.10,292.690815365
PB2015.5196.1,291.555218843
PB2015.3760.2,290.049769585
PB2015.5822.10,288.643356858
PB2015.10489.20,287.152138434
PB2015.3021.3,287.147736448
PB2015.3021.6,286.046154259
PB2015.6487.2,283.957669033
PB2015.10960.3,283.407548669
PB2015.10246.5,283.357696031
PB2015.10972.1,282.741666667
PB2015.13676.4,281.627419355
PB2015.6969.7,280.547979348
PB2015.9280.7,277.558066091
PB2015.6969.1,276.560461612
PB2015.12691.1,276.54967218
PB2015.9430.2,276.16
PB2015.579.1,275.501983132
PB2015.9801.2,275.178407751
PB2015.12814.5,273.619496035
PB2015.16776.11,273.159295218
PB2015.9280.6,272.859018659
PB2015.7139.18,272.710079519
PB2015.2890.7,272.505405405
PB2015.11301.2,272.380679219
PB2015.7697.1,272.062962963
PB2015.3388.1,270.816403785
PB2015.13154.1,270.220372751
PB2015.9072.1,268.180447719
PB2015.775.9,267.89339934
PB2015.16690.6,267.853416149
PB2015.6861.1,267.141984793
PB2015.3676.4,266.349116608
PB2015.9116.4,265.714566228
PB2015.3021.12,265.563614894
PB2015.9993.1,265.159910913
PB2015.3540.3,264.936546185
PB2015.12405.1,264.833043478
PB2015.15684.1,263.013772152
PB2015.16140.4,262.372672798
PB2015.12956.1,261.990805687
PB2015.9018.1,261.944998947
PB2015.106.1,260.864806345
PB2015.9116.5,260.806984431
PB2015.7741.1,260.456393443
PB2015.9116.7,260.192178268
PB2015.11461.2,258.783955717
PB2015.13953.1,258.175960148
PB2015.4435.4,258.122135008
PB2015.9280.5,257.995113991
PB2015.4583.2,256.48606357
PB2015.9312.7,256.366037736
PB2015.4359.1,255.616847599
PB2015.16248.7,254.81928494
PB2015.2299.4,254.629698376
PB2015.1955.2,254.004973716
PB2015.12248.1,253.944203411
PB2015.3468.2,252.66769057
PB2015.16092.1,251.116576628
PB2015.10186.19,248.633894152
PB2015.423.4,248.140162903
PB2015.15681.1,247.261263158
PB2015.3468.5,246.918190045
PB2015.12173.2,246.422163524
PB2015.7632.2,245.708796849
PB2015.11573.2,245.08987937
PB2015.6842.9,244.997284264
PB2015.13244.5,243.674513085
PB2015.15249.1,243.526797386
PB2015.9116.6,243.300611819
PB2015.10489.21,242.897337731
PB2015.11425.8,242.883511954
PB2015.10186.21,242.32850345
PB2015.12981.1,241.215349764
PB2015.16690.4,241.17250897
PB2015.9613.1,241.065136423
PB2015.12183.5,240.71425254
PB2015.12935.7,240.319148936
PB2015.13800.1,239.501511292
PB2015.3951.7,239.13957935
PB2015.7121.1,238.794820062
PB2015.10186.24,237.51275666
PB2015.9008.4,237.12173913
PB2015.9613.2,236.662569214
