transcript,hippuristanol_minus_DMS_fp_10_coverage
PB2015.108.10,656.85
PB2015.4570.2,581.474212459
PB2015.3468.6,461.952275425
PB2015.12680.1,382.786936236
PB2015.12036.1,357.76969697
PB2015.12091.1,351.945145631
PB2015.14757.18,345.092788462
PB2015.14913.1,343.296254682
PB2015.11384.3,343.009833333
PB2015.11461.1,333.922676093
PB2015.16244.1,333.281725888
PB2015.653.3,333.106201743
PB2015.1477.1,333.080269058
PB2015.12974.1,332.929118774
PB2015.12050.1,330.089811321
PB2015.14267.3,329.562228654
PB2015.9370.1,327.675609756
PB2015.1998.1,326.797927461
PB2015.12405.1,326.195100223
PB2015.930.4,324.771128529
PB2015.6740.1,323.446153846
PB2015.10362.1,322.543157895
PB2015.5822.10,322.428790882
PB2015.11618.18,319.169872754
PB2015.1909.1,318.36367713
PB2015.11710.1,317.777777778
PB2015.10322.3,316.462432432
PB2015.1234.1,313.087804878
PB2015.12653.1,311.628865979
PB2015.10235.1,311.551090343
PB2015.3286.6,310.041772152
PB2015.10327.1,309.361702128
PB2015.11025.3,305.53082499
PB2015.7139.12,305.168819704
PB2015.5967.1,304.079734219
PB2015.10161.1,302.451972158
PB2015.254.6,298.652867599
PB2015.10044.2,296.075975836
PB2015.14264.2,295.446578366
PB2015.15274.2,293.814889555
PB2015.11579.4,293.690033223
PB2015.7710.1,292.083531949
PB2015.1042.1,285.654846336
PB2015.10489.20,285.33941507
PB2015.13229.6,284.99797841
PB2015.5196.1,283.300851698
PB2015.12183.5,283.097731731
PB2015.13676.4,281.403167306
PB2015.10960.3,279.148662434
PB2015.6969.7,277.634885643
PB2015.3021.10,276.550727412
PB2015.3468.2,275.388958965
PB2015.3021.3,274.681240295
PB2015.12248.1,272.890940059
PB2015.3021.6,272.435177146
PB2015.3760.2,271.272
PB2015.3388.1,271.02892057
PB2015.12814.5,270.774366755
PB2015.9801.2,270.273352727
PB2015.10246.5,269.759914255
PB2015.11301.2,269.554099877
PB2015.10972.1,269.401129944
PB2015.3468.5,268.945672501
PB2015.15249.1,268.107136485
PB2015.7697.1,266.94955157
PB2015.4576.1,265.020990099
PB2015.16776.11,264.619404366
PB2015.3540.3,263.655052946
PB2015.9430.2,261.795973154
PB2015.3021.12,261.071571725
PB2015.4359.1,260.359589419
PB2015.15684.1,257.561516782
PB2015.13154.1,257.414521452
PB2015.15681.1,257.249834983
PB2015.2144.1,257.058124667
PB2015.4435.4,256.930645161
PB2015.7139.18,255.47362284
PB2015.5230.8,255.067203219
PB2015.16140.4,255.011611795
PB2015.6969.1,254.312682482
PB2015.2535.1,253.863276043
PB2015.6861.1,253.541800643
PB2015.106.1,253.299038907
PB2015.6487.2,253.199789474
PB2015.9072.1,252.724145884
PB2015.16248.7,252.251361519
PB2015.3387.1,249.299363057
PB2015.13953.1,249.002234882
PB2015.12691.1,248.466153097
PB2015.15126.2,247.997747512
PB2015.11461.2,247.6497421
PB2015.1955.2,245.586372827
PB2015.9280.7,242.670099949
PB2015.14299.4,241.174966353
PB2015.16690.6,240.884270734
PB2015.10186.19,240.035807621
PB2015.9116.4,239.471627597
PB2015.2555.2,239.065705264
PB2015.423.4,238.638674542
PB2015.10489.21,238.025271683
PB2015.12935.7,237.671705426
PB2015.9280.5,237.415129999
PB2015.13244.5,237.090472164
PB2015.12173.2,236.941047576
PB2015.9008.4,236.462890625
PB2015.7632.2,235.736028037
PB2015.10186.21,235.448212719
PB2015.9116.5,234.578196366
PB2015.9993.1,234.42382134
PB2015.14300.1,234.415944307
PB2015.9233.1,234.059443211
PB2015.12981.1,234.009475103
PB2015.4583.2,233.694016795
PB2015.3676.4,233.64480916
PB2015.439.7,233.512553011
PB2015.15684.2,232.225832109
PB2015.7741.1,231.468367347
PB2015.16690.4,231.382491187
PB2015.9532.1,231.314215026
PB2015.10186.24,231.186213141
PB2015.2965.1,230.865749709
PB2015.9280.6,230.353048361
PB2015.11340.5,228.076315445
PB2015.9116.7,228.026999113
PB2015.13540.5,226.725317358
PB2015.12891.1,226.448829431
PB2015.12956.1,225.397062024
PB2015.7121.1,225.05489512
PB2015.10135.1,224.8
PB2015.16690.3,223.669952088
PB2015.13167.3,223.537095819
PB2015.9018.1,223.460033445
PB2015.13156.1,222.413333333
PB2015.15240.7,222.365915493
PB2015.16625.2,222.168301887
PB2015.10960.9,222.155343856
PB2015.2890.7,222.093922652
PB2015.6630.1,221.915816768
PB2015.7280.7,221.704894154
PB2015.13676.3,221.641440586
PB2015.16617.4,220.998296453
PB2015.2907.1,220.204724132
PB2015.13053.1,220.130776043
PB2015.2299.4,218.372307692
PB2015.9116.6,218.085524457
PB2015.11573.2,217.345028843
PB2015.439.8,216.858311011
PB2015.6842.9,216.422864583
PB2015.4245.7,215.333333333
PB2015.3486.5,215.319818642
PB2015.10186.16,214.685496117
PB2015.15301.2,214.62749004
PB2015.9312.7,214.029166667
PB2015.13800.1,213.983086457
PB2015.15227.1,213.966144403
PB2015.16092.1,213.503966402
PB2015.12345.1,213.451620853
PB2015.8722.3,213.248140044
PB2015.11796.1,213.000225479
PB2015.16625.1,212.053046595
PB2015.9613.1,211.852298352
PB2015.11425.8,211.259777829
PB2015.13524.1,210.882857143
PB2015.5905.1,210.784837034
PB2015.5448.32,210.647463737
PB2015.15535.1,210.125407725
PB2015.5623.2,210.037923251
PB2015.13316.7,210.022797927
PB2015.13156.2,209.9176781
PB2015.579.1,209.873127753
PB2015.824.4,209.712271018
PB2015.2054.1,209.403089037
PB2015.7299.15,208.469264439
PB2015.15392.4,208.457147323
PB2015.9116.3,208.427510802
PB2015.2054.2,208.193587417
PB2015.3937.6,207.675809199
