#prior_probability=0.1																	
feature_id	bayes_factor	posterior_probability	alpha0	alpha1	eta1_0	mu_TH1_MCF7.gene	mu_TH2_MCF7.gene	mu_TH3_MCF7.gene	mu_TD1_MCF7.gene	mu_TD2_MCF7.gene	mu_TD3_MCF7.gene		sd_TH1_MCF7.gene	sd_TH2_MCF7.gene	sd_TD1_MCF7.gene	sd_TD2_MCF7.gene	sd_TD3_MCF7.gene
PB2015.1	0.771062	0.0789129	-3.26112	-3.26342	-0.0208351	-11.9375	-3.05508	-13.3055	-3.09708	-3.32305	-13.3575	9.55777	1.20791	10.8559	1.15431	1.24967	9.81346
PB2015.10	1.51756	0.144288	-0.501001	-0.500143	0.571226	0.00971383	-0.258105	-0.317628	-0.495565	-0.998609	-1.00058	0.095882	0.10562	0.103043	0.112302	0.137063	0.148225
PB2015.100	0.260069	0.028085	1.85301	1.85424	-0.138042	1.82334	1.79365	1.7373	1.93499	1.95795	1.87816	0.044821	0.0431478	0.0427343	0.0374515	0.0349688	0.0396943
PB2015.1000	0.773016	0.0790969	0.237338	0.229706	0.414918	0.618236	0.295715	0.434045	0.0120115	0.177657	-0.201832	0.145352	0.172671	0.151632	0.189213	0.163819	0.201625
PB2015.10000	0.0527379	0.00582563	2.00514	2.00525	0.00189999	1.96392	2.05321	2.00429	1.9719	1.94947	2.09264	0.0338899	0.0313296	0.0296186	0.0318519	0.0300159	0.0305832
PB2015.10001	0.202066	0.0219587	0.853902	0.853036	-0.148505	0.725417	0.773713	0.829714	0.97082	0.985915	0.826837	0.0712441	0.0672955	0.0653664	0.0623419	0.0548336	0.0618399
PB2015.10002	0.659846	0.0683081	-0.999227	-1.02152	0.518557	-0.286452	-0.683951	-1.29177	-1.86937	-1.19729	-1.25821	0.453959	0.527308	0.634665	0.787743	0.511822	0.623591
PB2015.10003	0.976177	0.0978508	-5.33991	-5.313	-0.0547429	-8.29833	-10.3632	-10.1158	-10.7915	-5.55497	-8.96674	10.2692	10.2484	10.2237	10.6261	9.14035	9.54732
PB2015.10004	2.70093	0.23083	4.26807	4.27323	0.479294	4.64118	4.46182	4.45944	4.10421	3.94299	4.03816	0.0227393	0.0243796	0.022414	0.0277729	0.0295164	0.0285109
PB2015.10005	0.381849	0.0407008	-1.78923	-1.79746	0.301467	-1.6607	-1.43012	-1.80714	-1.53636	-2.21399	-2.38608	0.308359	0.281625	0.316426	0.263618	0.370363	0.419381
PB2015.10006	0.0612279	0.00675713	2.25471	2.25214	-0.0271308	2.19361	2.27878	2.2392	2.25067	2.20365	2.35587	0.0457571	0.0417908	0.0417956	0.0416025	0.0410241	0.0403595
PB2015.10007	0.02599	0.00287946	4.44576	4.4457	0.0216228	4.45597	4.44902	4.46299	4.45697	4.41482	4.43602	0.0178691	0.0187227	0.0164834	0.0171404	0.0172609	0.0171157
PB2015.10008	0.368089	0.0392918	-0.536278	-0.538075	0.256977	-0.555097	-0.418702	-0.242393	-0.626608	-0.843876	-0.561266	0.117747	0.114386	0.0922109	0.114622	0.121023	0.115022
PB2015.10009	1.02895	0.102598	2.77375	2.7765	0.281991	2.9664	2.86169	2.93486	2.72514	2.54998	2.61949	0.0305501	0.0288341	0.025989	0.0268235	0.0295009	0.0285998
PB2015.1001	0.56595	0.059163	-3.22984	-3.23651	-0.262101	-14.2632	-3.37227	-3.49265	-14.7738	-3.06261	-2.98417	10.0779	0.76127	0.748736	9.57297	0.608166	0.632306
PB2015.10010	0.553668	0.0579535	3.23979	3.23914	0.280133	3.50387	3.28903	3.36762	3.19598	3.00301	3.08913	0.0190699	0.0198456	0.0182934	0.0203099	0.0214475	0.0216176
PB2015.10011	0.0647446	0.00714246	3.30068	3.29959	0.0233405	3.2492	3.35057	3.33137	3.3715	3.2214	3.26694	0.0585387	0.0550724	0.0498172	0.0482819	0.0566271	0.0554833
PB2015.10012	1.98003	0.18033	3.37699	3.37532	0.363178	3.63446	3.48714	3.57137	3.27587	3.13165	3.16628	0.0316102	0.0334399	0.0295413	0.0371089	0.0390106	0.0390556
PB2015.10013	0.0736162	0.00811322	3.30407	3.30398	-0.0508316	3.29258	3.2228	3.31451	3.3105	3.30676	3.37437	0.0225003	0.0228212	0.0210531	0.0197543	0.019459	0.0197917
PB2015.10014	0.12008	0.0131665	1.51996	1.52043	-0.0624393	1.64313	1.4569	1.36451	1.66927	1.51375	1.48051	0.0600736	0.0655241	0.0648088	0.0567252	0.0554148	0.061662
PB2015.10015	0.3116	0.0334636	0.518449	0.516046	0.255953	0.961004	0.675921	0.341048	0.711485	0.219952	0.160216	0.104512	0.118346	0.130706	0.108639	0.139683	0.140874
PB2015.10016	0.566314	0.0591987	-2.84117	-2.86952	0.397596	-2.47455	-2.67975	-14.9782	-14.5744	-3.71809	-2.8094	0.45142	0.553739	10.5124	10.0204	0.783528	0.539199
PB2015.10017	0.944176	0.0949477	-3.47503	-3.72277	0.562125	-12.1591	-12.3758	-2.77925	-12.8277	-12.506	-12.935	9.75756	9.77657	1.14324	9.78937	9.71111	10.3597
PB2015.10018	0.545431	0.0571405	1.45964	1.4614	-0.224173	1.2846	1.37138	1.38225	1.49291	1.62743	1.6097	0.0660828	0.0618859	0.0593784	0.0536126	0.0504489	0.0517312
PB2015.10019	0.22408	0.0242929	0.5699	0.565808	0.0843405	0.594849	0.703139	0.521464	0.612988	0.382515	0.517418	0.257991	0.228706	0.277295	0.259621	0.371016	0.313514
PB2015.1002	0.103398	0.0113582	4.24162	4.24147	-0.0623102	4.24023	4.18517	4.20558	4.29039	4.24918	4.28173	0.0235819	0.0242662	0.0212971	0.0269421	0.0208929	0.021798
PB2015.10020	0.122193	0.0133951	-1.24595	-1.2467	-0.0780665	-1.39085	-1.35596	-1.13834	-1.35739	-1.08982	-1.1832	0.120791	0.116957	0.103204	0.109046	0.0949674	0.103872
PB2015.10021	0.0851747	0.00937513	1.55452	1.55442	-0.045629	1.46653	1.47795	1.65164	1.49511	1.63402	1.60044	0.0457266	0.0461071	0.0386344	0.0421505	0.0384786	0.0415518
PB2015.10022	0.267018	0.0288138	-2.03071	-2.03522	0.0352124	-1.93467	-1.7951	-2.43503	-2.38891	-2.12207	-1.76369	0.38448	0.343794	0.481983	0.46095	0.383139	0.339535
PB2015.10023	0.806395	0.0822315	-3.891	-3.8653	-0.0402467	-12.9425	-13.2566	-3.64647	-13.5933	-3.63623	-13.7102	9.25469	9.56785	1.21067	10.3172	1.18644	10.5249
PB2015.10024	0.0590461	0.00651792	2.85193	2.8506	0.0458316	2.8368	2.89487	2.89293	2.8469	2.83431	2.80174	0.0579067	0.0550063	0.0524636	0.0528846	0.0501106	0.0553783
PB2015.10025	0.0626184	0.00690952	4.14331	4.14262	0.0327484	4.15393	4.21215	4.10967	4.15847	4.1518	4.06552	0.0456789	0.0462869	0.0457435	0.0430712	0.0407383	0.0453425
PB2015.10026	0.271254	0.0292575	3.96269	3.96089	0.152752	4.04229	4.01342	4.05991	3.92286	3.85601	3.874	0.0632339	0.0676087	0.0599888	0.0685452	0.0673007	0.06607
PB2015.10027	0.494327	0.0520655	3.36964	3.36729	0.262831	3.61559	3.51428	3.39024	3.33766	3.15074	3.20565	0.081408	0.0851723	0.0851428	0.0905398	0.0942093	0.0936649
PB2015.10028	0.196374	0.0213534	3.15729	3.15698	0.104247	3.5031	3.09921	3.05367	3.18161	3.00809	3.11723	0.0306441	0.0373714	0.0350407	0.0340516	0.0363038	0.0366621
PB2015.10029	0.755712	0.0774636	3.388	3.3924	0.205572	3.53527	3.48624	3.46599	3.34177	3.23612	3.28726	0.0176214	0.0193518	0.0181805	0.0196114	0.0201495	0.0204851
PB2015.1003	0.359478	0.0384079	5.28152	5.2826	0.134271	5.39111	5.32009	5.33642	5.2489	5.20927	5.18981	0.0100497	0.0107112	0.00986064	0.0101782	0.0101124	0.010596
PB2015.10030	0.230969	0.0250211	4.37389	4.37497	-0.0846088	4.36369	4.32257	4.31205	4.40417	4.41301	4.43601	0.0120365	0.0125925	0.0122517	0.0111196	0.0100969	0.0105635
PB2015.10031	0.838626	0.0852382	-3.16484	-3.3483	-0.533566	-13.306	-3.87675	-14.1223	-3.0604	-4.01206	-2.5384	9.10436	1.23521	9.85527	0.76709	1.18567	0.616623
PB2015.10032	0.142098	0.0155432	3.28052	3.28048	0.107489	3.38218	3.28521	3.33959	3.32122	3.1344	3.218	0.0280694	0.0286023	0.0266988	0.0273515	0.0275149	0.0285433
PB2015.10033	0.442405	0.046853	-0.0830409	-0.0819836	0.36134	0.500799	0.2387	-0.362838	0.151321	-0.423561	-0.664091	0.0965351	0.102114	0.129443	0.103388	0.1376	0.157248
PB2015.10034	0.0754406	0.00831261	3.72642	3.72424	-0.0393451	3.68606	3.75007	3.6739	3.84268	3.7372	3.6539	0.0342361	0.0293237	0.0568409	0.029483	0.0278917	0.0322218
PB2015.10035	1.0747	0.106673	-4.31059	-4.31127	0.115535	-9.93849	-9.46544	-1.64358	-6.6314	-9.40193	-8.77853	9.75365	9.76845	6.91229	9.99695	10.3607	9.87989
PB2015.10036	0.118152	0.0129579	2.08105	2.08201	-0.0930922	2.12344	2.01072	1.97215	2.17727	2.07773	2.12872	0.0346702	0.0351424	0.0339891	0.0317095	0.0320291	0.034598
PB2015.10037	0.157122	0.0171584	1.93851	1.93925	0.127506	2.15846	1.93866	1.92372	1.98506	1.82456	1.80402	0.0354356	0.0388449	0.0392988	0.0381328	0.0388448	0.0426685
PB2015.10038	0.176809	0.019267	2.43773	2.43942	0.112393	2.54317	2.48128	2.46489	2.44077	2.30462	2.39954	0.0216266	0.0214713	0.0215619	0.0219505	0.0227243	0.0231499
PB2015.10039	0.0299847	0.00332057	3.36368	3.36388	-0.0169933	3.34835	3.33252	3.37984	3.35906	3.38144	3.37798	0.0205909	0.02055	0.0174319	0.0188873	0.0179332	0.0188138
PB2015.1004	0.170263	0.0185668	2.33545	2.33536	0.116138	2.45204	2.35029	2.3868	2.36961	2.21121	2.24667	0.0962135	0.100452	0.0862038	0.0908203	0.09516	0.0987258
PB2015.10040	0.066487	0.00733327	2.26921	2.26895	0.0428173	2.30799	2.3251	2.23962	2.34593	2.22017	2.17414	0.0280168	0.0265585	0.027176	0.0264375	0.0272888	0.0280316
PB2015.10041	0.27961	0.0301317	1.96743	1.97041	-0.169207	1.92699	1.95349	1.77133	2.0673	2.09245	2.00079	0.0385172	0.0395935	0.0391614	0.0339203	0.0327361	0.035133
PB2015.10042	0.0388633	0.00429958	3.26926	3.26778	-0.0284843	3.28728	3.20387	3.27024	3.26353	3.29253	3.29444	0.0270466	0.0290952	0.0253702	0.0259569	0.0248863	0.0255348
PB2015.10043	0.086558	0.00952594	1.94458	1.94482	0.0679084	2.02248	1.92828	1.98828	1.94962	1.8488	1.9342	0.0335144	0.0343813	0.0309898	0.0336648	0.0341259	0.0332851
PB2015.10044	0.0641474	0.00707705	4.31461	4.31416	-0.0436496	4.32773	4.27432	4.27712	4.34575	4.32421	4.33864	0.0122573	0.011878	0.0116784	0.0114819	0.0109946	0.0115518
PB2015.10045	0.222182	0.0240921	-0.505919	-0.505071	0.174536	-0.708335	-0.266143	-0.310131	-0.832851	-0.563596	-0.428639	0.193816	0.152372	0.145212	0.185027	0.157262	0.158215
PB2015.10046	0.0760917	0.00838375	2.62085	2.62121	0.0593032	2.59212	2.72739	2.64	2.56474	2.62069	2.58615	0.0358632	0.0428994	0.0420087	0.0425587	0.0424615	0.0398702
PB2015.10047	0.972077	0.0974799	-4.46489	-4.69613	-0.501888	-14.8397	-14.4553	-14.4054	-4.82327	-4.88793	-3.896	10.5293	9.62263	10.0647	1.22051	1.11941	0.753705
PB2015.10048	0.0983433	0.0108089	0.638797	0.637264	-0.0207108	0.638435	0.67748	0.563716	0.6624	0.667549	0.620871	0.106041	0.101367	0.101866	0.0978178	0.0939449	0.0992952
PB2015.10049	0.302232	0.0324902	0.925849	0.925437	0.197922	1.06312	1.11095	0.923843	0.904095	0.578103	0.960477	0.10823	0.105795	0.112619	0.116158	0.128937	0.107662
PB2015.1005	0.0360119	0.00398537	4.69743	4.69731	-0.0184108	4.69014	4.70407	4.67016	4.74934	4.67511	4.69794	0.0184299	0.0173132	0.0163916	0.015988	0.0157735	0.0167827
PB2015.10050	0.155016	0.0169324	1.21044	1.20813	-0.0888118	1.2787	1.17865	1.00982	1.39079	1.12639	1.24251	0.144308	0.147383	0.150461	0.120815	0.13762	0.139647
PB2015.10051	0.0767488	0.00845554	1.21229	1.21189	-0.00434654	1.25458	1.28108	1.09564	1.24798	1.24766	1.14256	0.0550131	0.052537	0.05595	0.0521776	0.049536	0.054171
PB2015.10052	1.07791	0.106958	0.47484	0.47006	0.434692	0.81197	0.550937	0.747311	0.337715	0.0033536	0.370683	0.0846691	0.0928174	0.0814617	0.098725	0.111713	0.101874
PB2015.10053	0.641089	0.0664955	-2.62735	-2.75069	0.366454	-2.49154	-2.16195	-3.05269	-3.04018	-14.5791	-14.2722	0.614692	0.531182	0.75683	0.779992	11.3035	10.3219
PB2015.10054	0.232515	0.0251844	2.69231	2.68932	0.175511	2.93125	2.68099	2.74289	2.69537	2.43302	2.66562	0.0276123	0.031446	0.0285524	0.0294419	0.0324959	0.0295863
PB2015.10055	0.293668	0.0315987	1.52969	1.52884	0.158485	1.5629	1.61912	1.64319	1.38705	1.45588	1.49997	0.071844	0.0642939	0.0615615	0.0697935	0.0636193	0.0679696
PB2015.10056	0.729962	0.0750221	-0.0192884	-0.0243329	0.295758	0.0189318	0.19608	0.161098	-0.180546	-0.213366	-0.133051	0.091661	0.0831024	0.0774539	0.0943882	0.0926328	0.0938428
PB2015.10057	0.190045	0.0206794	3.80248	3.80054	0.104728	3.85922	3.86927	3.83714	3.80555	3.74686	3.69192	0.0200339	0.0201303	0.0196156	0.0192437	0.0199847	0.0207646
PB2015.10058	1.04008	0.103592	3.74396	3.74562	0.310491	4.03237	3.84794	3.84811	3.6501	3.5448	3.5573	0.0177645	0.0198222	0.019196	0.021054	0.0228911	0.0232442
