transcript,double_bases,double_percent,single_bases,single_percent
PB2015.28.7_24,52.0,0.52,48.0,0.48
PB2015.28.7_22,58.0,0.58,42.0,0.42
PB2015.28.7_23,60.0,0.6,40.0,0.4
PB2015.28.7_20,62.0,0.62,38.0,0.38
PB2015.28.7_21,54.0,0.54,46.0,0.46
PB2015.13370.2_1,60.0,0.6,40.0,0.4
PB2015.13370.2_0,50.0,0.5,50.0,0.5
PB2015.6995.1_16,52.0,0.52,48.0,0.48
PB2015.13643.4_2,46.0,0.46,54.0,0.54
PB2015.13643.4_3,54.0,0.54,46.0,0.46
PB2015.13643.4_0,50.0,0.5,50.0,0.5
PB2015.13643.4_1,40.0,0.4,60.0,0.6
PB2015.13643.4_6,62.0,0.62,38.0,0.38
PB2015.13643.4_7,68.0,0.68,32.0,0.32
PB2015.13643.4_4,52.0,0.52,48.0,0.48
PB2015.13643.4_5,56.0,0.56,44.0,0.44
PB2015.13643.4_8,70.0,0.7,30.0,0.3
PB2015.13643.4_9,64.0,0.64,36.0,0.36
PB2015.13989.4_22,62.0,0.62,38.0,0.38
PB2015.13989.4_23,54.0,0.54,46.0,0.46
PB2015.13989.4_20,62.0,0.62,38.0,0.38
PB2015.13989.4_21,62.0,0.62,38.0,0.38
PB2015.810.1_8,34.0,0.34,66.0,0.66
PB2015.810.1_7,30.0,0.3,70.0,0.7
PB2015.810.1_6,32.0,0.32,68.0,0.68
PB2015.810.1_5,40.0,0.4,60.0,0.6
PB2015.810.1_4,48.0,0.48,52.0,0.52
PB2015.810.1_3,50.0,0.5,50.0,0.5
PB2015.810.1_2,56.0,0.56,44.0,0.44
PB2015.810.1_1,60.0,0.6,40.0,0.4
PB2015.810.1_0,64.0,0.64,36.0,0.36
PB2015.10145.4_2,62.0,0.62,38.0,0.38
PB2015.10145.4_0,60.0,0.6,40.0,0.4
PB2015.10145.4_1,60.0,0.6,40.0,0.4
PB2015.9436.2_8,70.0,0.7,30.0,0.3
PB2015.9436.2_9,54.0,0.54,46.0,0.46
PB2015.9436.2_6,56.0,0.56,44.0,0.44
PB2015.9436.2_7,54.0,0.54,46.0,0.46
PB2015.9436.2_4,64.0,0.64,36.0,0.36
PB2015.9436.2_5,66.0,0.66,34.0,0.34
PB2015.8460.1_53,54.0,0.54,46.0,0.46
PB2015.9436.2_3,66.0,0.66,34.0,0.34
PB2015.9436.2_0,62.0,0.62,38.0,0.38
PB2015.9436.2_1,66.0,0.66,34.0,0.34
PB2015.11794.1_34,46.0,0.46,54.0,0.54
PB2015.11794.1_35,48.0,0.48,52.0,0.52
PB2015.11794.1_36,54.0,0.54,46.0,0.46
PB2015.11794.1_37,48.0,0.48,52.0,0.52
PB2015.11794.1_30,50.0,0.5,50.0,0.5
PB2015.11794.1_31,46.0,0.46,54.0,0.54
PB2015.11794.1_32,46.0,0.46,54.0,0.54
PB2015.11794.1_33,56.0,0.56,44.0,0.44
PB2015.11794.1_38,46.0,0.46,54.0,0.54
PB2015.11794.1_39,46.0,0.46,54.0,0.54
PB2015.13419.4_24,58.0,0.58,42.0,0.42
PB2015.13419.4_25,62.0,0.62,38.0,0.38
PB2015.13419.4_26,72.0,0.72,28.0,0.28
PB2015.13419.4_27,62.0,0.62,38.0,0.38
PB2015.13419.4_20,52.0,0.52,48.0,0.48
PB2015.13419.4_21,42.0,0.42,58.0,0.58
PB2015.13419.4_22,52.0,0.52,48.0,0.48
PB2015.13419.4_23,48.0,0.48,52.0,0.52
PB2015.13419.4_28,58.0,0.58,42.0,0.42
PB2015.13419.4_29,46.0,0.46,54.0,0.54
PB2015.847.1_31,52.0,0.52,48.0,0.48
PB2015.847.1_30,54.0,0.54,46.0,0.46
