transcript,Free_Energy
PB2015.28.7_24,-48.4
PB2015.28.7_22,-55.4
PB2015.28.7_23,-50.8
PB2015.28.7_20,-62.6
PB2015.28.7_21,-59.0
PB2015.13370.2_1,-51.0
PB2015.13370.2_0,-42.3
PB2015.6995.1_16,-43.6
PB2015.13643.4_2,-20.0
PB2015.13643.4_3,-28.1
PB2015.13643.4_0,-36.8
PB2015.13643.4_1,-25.8
PB2015.13643.4_6,-48.5
PB2015.13643.4_7,-57.5
PB2015.13643.4_4,-29.6
PB2015.13643.4_5,-39.9
PB2015.13643.4_8,-57.7
PB2015.13643.4_9,-53.0
PB2015.13989.4_22,-26.3
PB2015.13989.4_23,-24.3
PB2015.13989.4_20,-33.3
PB2015.13989.4_21,-34.9
PB2015.810.1_8,-14.4
PB2015.810.1_7,-14.2
PB2015.810.1_6,-16.5
PB2015.810.1_5,-19.8
PB2015.810.1_4,-24.4
PB2015.810.1_3,-37.6
PB2015.810.1_2,-40.2
PB2015.810.1_1,-39.7
PB2015.810.1_0,-42.3
PB2015.10145.4_2,-33.2
PB2015.10145.4_0,-33.2
PB2015.10145.4_1,-33.0
PB2015.9436.2_8,-41.5
PB2015.9436.2_9,-35.4
PB2015.9436.2_6,-43.3
PB2015.9436.2_7,-43.5
PB2015.9436.2_4,-43.1
PB2015.9436.2_5,-48.4
PB2015.8460.1_53,-40.3
PB2015.9436.2_3,-49.3
PB2015.9436.2_0,-52.6
PB2015.9436.2_1,-54.7
PB2015.11794.1_34,-22.5
PB2015.11794.1_35,-22.5
PB2015.11794.1_36,-26.0
PB2015.11794.1_37,-25.6
PB2015.11794.1_30,-24.4
PB2015.11794.1_31,-25.3
PB2015.11794.1_32,-25.3
PB2015.11794.1_33,-21.2
PB2015.11794.1_38,-31.8
PB2015.11794.1_39,-27.7
PB2015.13419.4_24,-38.6
PB2015.13419.4_25,-50.0
PB2015.13419.4_26,-54.3
PB2015.13419.4_27,-49.2
PB2015.13419.4_20,-29.8
PB2015.13419.4_21,-22.1
PB2015.13419.4_22,-28.8
PB2015.13419.4_23,-34.5
