transcript,Free_Energy
PB2015.3496.1_2,-18.8
PB2015.14670.9_34,-20.8
PB2015.13023.2_23,-23.1
PB2015.28.7_27,-35.0
PB2015.13023.2_21,-23.1
PB2015.28.7_25,-33.9
PB2015.28.7_22,-19.5
PB2015.13023.2_26,-11.7
PB2015.13023.2_25,-19.1
PB2015.13023.2_24,-22.7
PB2015.2417.1_27,-33.9
PB2015.13023.2_29,-19.7
PB2015.13023.2_28,-16.6
PB2015.28.7_28,-28.3
PB2015.28.7_29,-22.4
PB2015.5583.1_13,-7.0
PB2015.2417.1_24,-24.7
PB2015.13370.2_3,-11.1
PB2015.3644.3_5,-7.5
PB2015.13370.2_1,-14.8
PB2015.13370.2_0,-15.0
PB2015.3644.3_0,-22.0
PB2015.13370.2_6,-21.0
PB2015.3644.3_2,-16.7
PB2015.3015.2_23,-14.8
PB2015.16378.2_0,-28.2
PB2015.16378.2_1,-22.1
PB2015.16378.2_2,-12.0
PB2015.16378.2_3,-9.3
PB2015.16378.2_4,-6.6
PB2015.16378.2_5,-4.3
PB2015.16378.2_6,-10.9
PB2015.16378.2_7,-18.2
PB2015.16378.2_8,-19.3
PB2015.16378.2_9,-23.4
PB2015.13643.4_2,-10.5
PB2015.13643.4_3,-9.9
PB2015.13643.4_0,-13.9
PB2015.13643.4_1,-16.4
PB2015.13643.4_6,-7.5
PB2015.13643.4_7,-7.8
PB2015.13643.4_4,-7.4
PB2015.13643.4_5,-7.7
PB2015.13643.4_8,-17.1
PB2015.13643.4_9,-22.7
PB2015.28.7_24,-15.8
PB2015.13023.2_20,-13.2
PB2015.13023.2_27,-15.9
PB2015.28.7_23,-21.6
PB2015.9674.1_1,-29.5
PB2015.28.7_20,-28.8
PB2015.11013.7_51,-27.3
PB2015.28.7_21,-25.6
PB2015.9674.1_3,-30.7
PB2015.9674.1_2,-34.1
PB2015.9674.1_5,-31.0
PB2015.16498.2_5,-22.9
PB2015.16498.2_4,-32.6
PB2015.16498.2_7,-32.5
PB2015.16498.2_6,-26.8
PB2015.16498.2_1,-23.9
PB2015.16498.2_0,-25.1
PB2015.16498.2_3,-37.4
PB2015.13099.2_23,-23.7
PB2015.2283.2_9,-12.0
PB2015.9674.1_6,-28.3
PB2015.16498.2_9,-22.3
PB2015.3258.1_3,-27.0
PB2015.13989.4_26,-7.1
PB2015.13989.4_27,-7.4
PB2015.13989.4_24,-6.9
PB2015.13099.2_21,-10.8
PB2015.13989.4_22,-15.0
PB2015.13989.4_23,-7.8
PB2015.13989.4_20,-11.2
PB2015.13989.4_21,-23.3
PB2015.4475.1_2,-21.3
PB2015.13989.4_28,-13.3
PB2015.13099.2_27,-26.2
PB2015.810.1_9,0
PB2015.810.1_8,-0.1
PB2015.810.1_7,-2.4
PB2015.810.1_6,-11.0
PB2015.810.1_5,-14.5
PB2015.810.1_4,-21.5
PB2015.810.1_3,-23.7
PB2015.810.1_2,-26.2
PB2015.810.1_1,-18.6
PB2015.810.1_0,-24.8
PB2015.10145.4_2,-21.0
PB2015.10145.4_3,-16.4
PB2015.10145.4_0,-24.8
PB2015.10145.4_1,-23.1
PB2015.10145.4_6,-15.0
PB2015.10145.4_7,-11.4
PB2015.10145.4_4,-16.1
PB2015.10145.4_5,-12.0
PB2015.8460.1_57,-18.3
PB2015.8460.1_56,-20.9
PB2015.8460.1_55,-23.2
PB2015.8460.1_54,-17.8
PB2015.8460.1_53,-15.3
PB2015.8460.1_52,-11.9
PB2015.8460.1_51,-8.1
PB2015.8460.1_50,-7.9
PB2015.13099.2_29,-28.6
PB2015.1956.2_68,-16.4
PB2015.1956.2_69,-13.5
PB2015.1956.2_64,-1.4
PB2015.1956.2_65,-2.2
PB2015.1956.2_66,-12.6
PB2015.1956.2_67,-17.3
PB2015.1956.2_60,-9.5
PB2015.1956.2_61,-7.8
PB2015.1956.2_62,-7.6
PB2015.1956.2_63,-1.6
PB2015.11794.1_34,-10.2
PB2015.11794.1_35,-12.3
PB2015.11794.1_36,-19.4
PB2015.11794.1_37,-15.3
PB2015.11794.1_30,-9.8
PB2015.11794.1_31,-4.0
PB2015.11794.1_32,-6.7
PB2015.11794.1_33,-9.2
PB2015.11794.1_38,-13.7
PB2015.11794.1_39,-6.3
PB2015.13419.4_24,-3.0
PB2015.13419.4_25,-2.7
PB2015.13419.4_26,-7.9
PB2015.13419.4_27,-8.6
PB2015.13419.4_20,-13.8
PB2015.13953.3_4,-19.4
PB2015.13953.3_7,-16.8
PB2015.13419.4_23,-13.1
PB2015.13419.4_28,-18.6
PB2015.13419.4_29,-19.8
PB2015.847.1_31,-21.2
PB2015.847.1_30,-10.3
PB2015.847.1_33,-15.1
PB2015.847.1_32,-20.2
PB2015.847.1_35,-15.3
PB2015.847.1_34,-18.3
PB2015.847.1_37,-16.5
