transcript,length,
NM_001003806,336,
NM_001003805,384,
NM_001003802,1413,
NM_001003803,648,
NM_001003800,2568,
NM_001003801,1452,
NM_172367,534,
NM_001168531,789,
NM_001003809,2028,
NM_001304464,255,
NM_001304465,1449,
NM_001304466,1446,
NM_001304467,642,
NM_001304460,612,
NM_001008781,13674,
NM_001304462,1608,
NM_001304463,1497,
NM_001304468,477,
NM_005808,798,
NM_001290300,1218,
NM_001290307,2526,
NM_001278268,1809,
NM_005809,597,
NM_001278266,444,
NM_001282986,432,
NM_001278264,444,
NM_001278265,444,
NM_001278262,444,
NM_001278263,444,
NM_001278260,444,
NM_001278261,444,
NM_001355213,939,
NM_001355216,2457,
NM_001466,1698,
NM_001467,1290,
NM_001464,2208,
NM_001465,2490,
NM_001462,1056,
NM_001463,978,
NM_001460,1608,
NM_001461,1602,
NM_001276394,351,
NM_001317942,531,
NM_001164246,1269,
NM_000332,2448,
NM_001317947,675,
NM_000334,5511,
NM_007105,762,
NM_001317944,582,
NM_000339,3093,
NM_000338,3300,
NM_001317949,1113,
NM_001317948,831,
NM_001350533,2838,
NM_001350532,2904,
NM_001350531,1905,
NM_001012968,750,
NM_001350537,2706,
NM_001350536,2709,
NM_001350535,2805,
NM_001350534,2811,
NM_001350539,2682,
NM_001350538,2697,
NM_001253382,615,
NM_001012965,414,
NM_001012964,735,
NM_001167911,2367,
NM_001008784,816,
NM_003826,939,
NM_003827,888,
NM_001167915,642,
NM_003821,1623,
NM_003822,1488,
NM_001167916,642,
NM_003828,1998,
NM_003829,6126,
NM_001025780,867,
NM_001253383,615,
NM_001318538,948,
NM_001304461,1245,
NM_024034,1104,
NM_018301,1242,
NM_024036,1908,
NM_024037,1074,
NM_001164796,561,
NM_024031,1758,
NM_001161546,3048,
NM_018300,1551,
NM_001008783,1251,
NM_024038,531,
NM_024039,618,
NM_015550,2664,
NM_018304,1083,
NM_001349997,1146,
NM_001349996,1197,
NM_001349995,1086,
NM_001349994,1167,
NM_001297658,990,
NM_001312674,1335,
NM_001349991,1251,
NM_001349990,1197,
NM_001297654,2742,
NM_001297655,2055,
NM_001297656,2016,
NM_001271068,264,
NM_001297650,4392,
NM_001297651,7290,
NM_001297652,2631,
NM_001297653,2631,
NM_001193335,729,
NM_001193333,1386,
NM_001300819,471,
NM_001011724,963,
NM_006273,300,
NM_006270,657,
NM_001170703,777,
NM_001011720,1122,
NM_006277,5094,
NM_006274,297,
NM_006275,1035,
