transcript,Ensembl_transcript_ID,Ensembl_gene_ID,Ensembl_gene_symbol
PB2015.6184.4,ENST00000379463,ENSG00000159593,NAE1
PB2015.4050.1,ENST00000280560,ENSG00000150967,ABCB9
PB2015.4050.2,ENST00000344275,ENSG00000150967,ABCB9
PB2015.1296.1,ENST00000489615,ENSG00000152061,RABGAP1L
PB2015.5750.8,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.9,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.4,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.5,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.6,ENST00000568263,ENSG00000162066,AMDHD2
PB2015.5750.7,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.1,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.2,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.5750.3,ENST00000302956,ENSG00000162066,AMDHD2
PB2015.8322.1,ENST00000249396,ENSG00000068903,SIRT2
PB2015.8322.2,ENST00000392081,ENSG00000068903,SIRT2
PB2015.2617.10,ENST00000039989,ENSG00000052841,TTC17
PB2015.8322.4,ENST00000249396,ENSG00000068903,SIRT2
PB2015.8322.5,ENST00000407552,ENSG00000068903,SIRT2
PB2015.16603.1,ENST00000493763,ENSG00000146223,RPL7L1
PB2015.1477.1,ENST00000329627,ENSG00000215193,PEX26
PB2015.3720.3,ENST00000393543,ENSG00000111554,MDM1
PB2015.9350.1,ENST00000272647,ENSG00000144233,AMMECR1L
PB2015.3720.1,ENST00000411698,ENSG00000111554,MDM1
PB2015.16712.1,ENST00000555870,ENSG00000151338,MIPOL1
PB2015.4066.3,ENST00000262225,ENSG00000086598,TMED2
PB2015.4066.2,ENST00000262225,ENSG00000086598,TMED2
PB2015.4066.1,ENST00000262225,ENSG00000086598,TMED2
PB2015.7039.1,ENST00000409734,ENSG00000168887,C2orf68
PB2015.763.1,ENST00000406462,ENSG00000121957,GPSM2
PB2015.2735.1,ENST00000294168,ENSG00000162227,TAF6L
PB2015.15173.1,ENST00000276461,ENSG00000147475,ERLIN2
PB2015.15173.2,ENST00000276461,ENSG00000147475,ERLIN2
PB2015.1375.18,ENST00000367449,ENSG00000116750,UCHL5
PB2015.12098.1,ENST00000504986,ENSG00000109133,TMEM33
PB2015.12659.1,ENST00000281623,ENSG00000151876,FBXO4
PB2015.15668.1,ENST00000381652,ENSG00000096968,JAK2
PB2015.9463.2,ENST00000389759,ENSG00000144283,PKP4
PB2015.11629.2,ENST00000373191,ENSG00000126070,AGO3
PB2015.15226.16,ENST00000523944,ENSG00000104738,MCM4
PB2015.13456.1,ENST00000357578,ENSG00000112294,ALDH5A1
PB2015.3004.8,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.9,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.6,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.7,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.4,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.5,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.2,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.3,ENST00000281038,ENSG00000137513,NARS2
PB2015.3004.1,ENST00000281038,ENSG00000137513,NARS2
PB2015.9433.1,ENST00000409876,ENSG00000150556,LYPD6B
PB2015.3076.1,ENST00000273317,ENSG00000144791,LIMD1
PB2015.13838.1,ENST00000369981,ENSG00000196586,MYO6
PB2015.13471.1,ENST00000357618,ENSG00000010704,HFE
PB2015.9611.6,ENST00000388968,ENSG00000144381,HSPD1
PB2015.15743.1,ENST00000379238,ENSG00000137073,UBAP2
PB2015.13842.2,ENST00000344726,ENSG00000118418,HMGN3
PB2015.13842.3,ENST00000275036,ENSG00000118418,HMGN3
PB2015.13842.1,ENST00000344726,ENSG00000118418,HMGN3
PB2015.13842.6,ENST00000258711,ENSG00000136213,CHST12
PB2015.13842.4,ENST00000344726,ENSG00000118418,HMGN3
PB2015.13842.5,ENST00000620514,ENSG00000118418,HMGN3
PB2015.12604.1,ENST00000555870,ENSG00000151338,MIPOL1
PB2015.13954.1,ENST00000329970,ENSG00000155115,GTF3C6
PB2015.14758.1,ENST00000614508,ENSG00000275835,TUBGCP5
PB2015.6214.1,ENST00000573493,ENSG00000261884,AC040162.1
PB2015.6214.2,ENST00000358514,ENSG00000205220,PSMB10
PB2015.7752.1,ENST00000318524,ENSG00000086102,NFX1
PB2015.7752.2,ENST00000318524,ENSG00000086102,NFX1
PB2015.7752.3,ENST00000261491,ENSG00000102780,DGKH
PB2015.7752.4,ENST00000261491,ENSG00000102780,DGKH
PB2015.4419.3,ENST00000257336,ENSG00000134897,BIVM
PB2015.4419.2,ENST00000257336,ENSG00000134897,BIVM
PB2015.2370.3,ENST00000406217,ENSG00000179988,PSTK
PB2015.2370.2,ENST00000406217,ENSG00000179988,PSTK
PB2015.2370.1,ENST00000368887,ENSG00000179988,PSTK
PB2015.1465.1,ENST00000614459,ENSG00000198625,MDM4
PB2015.8322.3,ENST00000358931,ENSG00000068903,SIRT2
PB2015.10871.1,ENST00000327492,ENSG00000183864,TOB2
PB2015.10871.2,ENST00000327492,ENSG00000183864,TOB2
PB2015.6770.1,ENST00000261712,ENSG00000108671,PSMD11
PB2015.13116.1,ENST00000378122,ENSG00000204961,PCDHA9
PB2015.14665.1,ENST00000414739,ENSG00000239521,GATS
PB2015.11251.8,ENST00000232501,ENSG00000114388,NPRL2
PB2015.11251.9,ENST00000232501,ENSG00000114388,NPRL2
PB2015.11251.6,ENST00000232501,ENSG00000114388,NPRL2
PB2015.11251.7,ENST00000232501,ENSG00000114388,NPRL2
PB2015.11251.4,ENST00000232501,ENSG00000114388,NPRL2
PB2015.11251.5,ENST00000429366,ENSG00000114388,NPRL2
PB2015.11251.2,ENST00000451194,ENSG00000114388,NPRL2
PB2015.11251.3,ENST00000451194,ENSG00000114388,NPRL2
PB2015.3895.1,ENST00000261740,ENSG00000111199,TRPV4
PB2015.11251.1,ENST00000232501,ENSG00000114388,NPRL2
PB2015.2501.1,ENST00000299427,ENSG00000166340,TPP1
PB2015.12451.1,ENST00000409663,ENSG00000121210,TMEM131L
PB2015.12451.2,ENST00000409663,ENSG00000121210,TMEM131L
PB2015.5816.1,ENST00000321919,ENSG00000140632,GLYR1
PB2015.3542.5,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.4,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.7,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.6,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.1,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.3,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.2,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.9,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3542.8,ENST00000543196,ENSG00000139629,GALNT6
PB2015.3720.2,ENST00000430606,ENSG00000111554,MDM1
PB2015.9350.2,ENST00000272647,ENSG00000144233,AMMECR1L
PB2015.4442.1,ENST00000487903,ENSG00000068650,ATP11A
PB2015.8349.11,ENST00000409735,ENSG00000105223,PLD3
PB2015.1479.4,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.5,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.6,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.7,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.1,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.2,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.3,ENST00000367139,ENSG00000117280,RAB29
PB2015.8042.1,ENST00000586783,ENSG00000132016,C19orf57
PB2015.11717.3,ENST00000543469,ENSG00000213186,TRIM59
PB2015.11717.2,ENST00000479460,ENSG00000213186,TRIM59
PB2015.1479.8,ENST00000367139,ENSG00000117280,RAB29
PB2015.1479.9,ENST00000367139,ENSG00000117280,RAB29
PB2015.15096.2,ENST00000397802,ENSG00000168495,POLR3D
PB2015.15096.1,ENST00000306433,ENSG00000168495,POLR3D
PB2015.1008.1,ENST00000324862,ENSG00000117360,PRPF3
PB2015.1008.2,ENST00000324862,ENSG00000117360,PRPF3
PB2015.3317.1,ENST00000357529,ENSG00000166532,RIMKLB
PB2015.13950.4,ENST00000368932,ENSG00000168438,CDC40
PB2015.3317.3,ENST00000619374,ENSG00000166532,RIMKLB
PB2015.3317.2,ENST00000357529,ENSG00000166532,RIMKLB
PB2015.2548.2,ENST00000265970,ENSG00000011405,PIK3C2A
PB2015.7907.1,ENST00000600737,ENSG00000032444,PNPLA6
PB2015.10369.1,ENST00000370179,ENSG00000125534,PPDPF
PB2015.10369.3,ENST00000370179,ENSG00000125534,PPDPF
PB2015.10369.2,ENST00000370179,ENSG00000125534,PPDPF
PB2015.15258.2,ENST00000260118,ENSG00000137563,GGH
PB2015.15258.1,ENST00000260118,ENSG00000137563,GGH
PB2015.13950.3,ENST00000368932,ENSG00000168438,CDC40
PB2015.154.12,ENST00000430580,ENSG00000219481,NBPF1
PB2015.154.13,ENST00000430580,ENSG00000219481,NBPF1
PB2015.154.10,ENST00000430580,ENSG00000219481,NBPF1
PB2015.154.14,ENST00000430580,ENSG00000219481,NBPF1
PB2015.13950.1,ENST00000368932,ENSG00000168438,CDC40
PB2015.5962.1,ENST00000343070,ENSG00000168447,SCNN1B
PB2015.5962.3,ENST00000343070,ENSG00000168447,SCNN1B
PB2015.5962.2,ENST00000568085,ENSG00000168447,SCNN1B
PB2015.5962.5,ENST00000343070,ENSG00000168447,SCNN1B
PB2015.5962.4,ENST00000343070,ENSG00000168447,SCNN1B
PB2015.8409.4,ENST00000336976,ENSG00000267680,ZNF224
PB2015.8409.5,ENST00000336976,ENSG00000267680,ZNF224
PB2015.8409.2,ENST00000336976,ENSG00000267680,ZNF224
PB2015.8409.3,ENST00000336976,ENSG00000267680,ZNF224
PB2015.8409.1,ENST00000294066,ENSG00000168067,MAP4K2
PB2015.6294.4,ENST00000568615,ENSG00000103035,PSMD7
PB2015.6294.5,ENST00000219313,ENSG00000103035,PSMD7
PB2015.6294.6,ENST00000568717,ENSG00000103035,PSMD7
PB2015.4438.1,ENST00000258711,ENSG00000136213,CHST12
PB2015.6294.1,ENST00000219313,ENSG00000103035,PSMD7
PB2015.6294.2,ENST00000219313,ENSG00000103035,PSMD7
PB2015.6294.3,ENST00000219313,ENSG00000103035,PSMD7
PB2015.16392.11,ENST00000380087,ENSG00000102054,RBBP7
PB2015.16392.10,ENST00000380087,ENSG00000102054,RBBP7
PB2015.16392.13,ENST00000380087,ENSG00000102054,RBBP7
