transcript,hippuristanol_fpUTR_max,hippuristanol_fpUTR_average,hippuristanol_fpUTR_std,hippuristanol_fpUTR_gini
PB2015.4896.1,2.56566666667,0.2152444444445078,0.488513208687405,0.823766260582
PB2015.10847.2,2.94033333333,0.45449999999958335,0.7353619038462487,0.736971845333
PB2015.6092.1,0.706666666667,0.07033333333335,0.15573499571035537,0.84107863788
PB2015.6092.2,0.745,0.07095370370373333,0.16282453163936605,0.849141618455
PB2015.10847.1,0.752333333333,0.10584615384611537,0.18414942443399127,0.763211836613
PB2015.4050.1,0.923666666667,0.17948737373733864,0.24973537309436727,0.690052209704
PB2015.12659.1,NA,NA,NA,NA
PB2015.10163.2,0.596,0.09467063492060712,0.14285275186151214,0.716651496915
PB2015.1248.2,1.644,0.37591880341876155,0.43719700027981645,0.613929928424
PB2015.8246.1,3.08266666667,0.1703249581239849,0.44650400102783283,0.87965248136
PB2015.1248.1,1.66866666667,0.3340842490843,0.4257732908746686,0.652314102213
PB2015.9581.4,1.966,0.21187179487176921,0.4516765357699324,0.828261294557
PB2015.5750.5,1.472,0.24203030303036363,0.37237881777885956,0.719502999192
PB2015.5750.2,1.45466666667,0.3318279569892581,0.40558977696117754,0.627039909686
PB2015.9581.3,3.15566666667,0.29209841269849046,0.5649960348672879,0.787312904099
PB2015.8322.1,0.946333333333,0.093586111111075,0.16795241276989392,0.773790478169
PB2015.8322.2,0.944333333333,0.0957333333333576,0.16338200635324415,0.752283454039
PB2015.2528.1,2.001,0.33139007092208833,0.4482310902382814,0.662070231071
PB2015.12206.2,1.07433333333,0.2915287356320598,0.29441432890882974,0.552872294287
PB2015.12206.1,1.071,0.2964224137931819,0.2944977520675112,0.546205241861
PB2015.11301.1,NA,NA,NA,NA
PB2015.9602.5,0.343333333333,0.04192222222219,0.08915607136767024,0.836266454634
PB2015.3720.3,4.495,0.5072318840583914,1.1383971036307343,0.849574584119
PB2015.3720.2,5.00366666667,0.31787179487165385,0.9049506577516755,0.894975366249
PB2015.4066.2,1.053,0.1564186046511558,0.27658547508599995,0.776390127862
PB2015.15173.1,0.348333333333,0.04508602150538709,0.08414328825710786,0.787426048021
PB2015.15648.1,0.938,0.12227350427347951,0.20651236136086903,0.750630002832
PB2015.1375.18,1.943,0.4749777777777667,0.5376641863504621,0.602630922304
PB2015.4997.2,1.24366666667,0.20620175438613159,0.35016519526336704,0.766117819328
PB2015.781.5,0.801666666667,0.24860360360357664,0.23206620984701057,0.516060978536
