gene	transcript
PB2015.6184	PB2015.6184.4
PB2015.4050	PB2015.4050.1
PB2015.4050	PB2015.4050.2
PB2015.1296	PB2015.1296.1
PB2015.5750	PB2015.5750.8
PB2015.5750	PB2015.5750.9
PB2015.5750	PB2015.5750.4
PB2015.5750	PB2015.5750.5
PB2015.5750	PB2015.5750.6
PB2015.5750	PB2015.5750.7
PB2015.5750	PB2015.5750.1
PB2015.5750	PB2015.5750.2
PB2015.5750	PB2015.5750.3
PB2015.8322	PB2015.8322.1
PB2015.8322	PB2015.8322.2
PB2015.2617	PB2015.2617.10
PB2015.8322	PB2015.8322.4
PB2015.8322	PB2015.8322.5
PB2015.2741	PB2015.2741.23
PB2015.1477	PB2015.1477.1
PB2015.3720	PB2015.3720.3
PB2015.9350	PB2015.9350.1
PB2015.3720	PB2015.3720.1
PB2015.16712	PB2015.16712.1
PB2015.11301	PB2015.11301.3
PB2015.4066	PB2015.4066.3
PB2015.4066	PB2015.4066.2
PB2015.4066	PB2015.4066.1
PB2015.7039	PB2015.7039.1
PB2015.2741	PB2015.2741.26
PB2015.763	PB2015.763.1
PB2015.2735	PB2015.2735.1
PB2015.15173	PB2015.15173.1
PB2015.15173	PB2015.15173.2
PB2015.1375	PB2015.1375.19
PB2015.1375	PB2015.1375.18
PB2015.1242	PB2015.1242.2
PB2015.12098	PB2015.12098.1
PB2015.8850	PB2015.8850.7
PB2015.14029	PB2015.14029.1
PB2015.12659	PB2015.12659.1
PB2015.15668	PB2015.15668.1
PB2015.9463	PB2015.9463.2
PB2015.11629	PB2015.11629.2
PB2015.15226	PB2015.15226.16
PB2015.2741	PB2015.2741.29
PB2015.13456	PB2015.13456.1
PB2015.3004	PB2015.3004.8
PB2015.3004	PB2015.3004.9
PB2015.3004	PB2015.3004.6
PB2015.3004	PB2015.3004.7
PB2015.3004	PB2015.3004.4
PB2015.3004	PB2015.3004.5
PB2015.3004	PB2015.3004.2
PB2015.3004	PB2015.3004.3
PB2015.3004	PB2015.3004.1
PB2015.9433	PB2015.9433.1
PB2015.16037	PB2015.16037.1
PB2015.13838	PB2015.13838.1
PB2015.4616	PB2015.4616.1
PB2015.9611	PB2015.9611.6
PB2015.6184	PB2015.6184.5
PB2015.15743	PB2015.15743.1
PB2015.13842	PB2015.13842.2
PB2015.13842	PB2015.13842.3
PB2015.13842	PB2015.13842.1
PB2015.13842	PB2015.13842.6
PB2015.13842	PB2015.13842.4
PB2015.13842	PB2015.13842.5
PB2015.12604	PB2015.12604.1
PB2015.13954	PB2015.13954.1
PB2015.14758	PB2015.14758.1
PB2015.6214	PB2015.6214.1
PB2015.6214	PB2015.6214.2
PB2015.7752	PB2015.7752.1
PB2015.7752	PB2015.7752.2
PB2015.7752	PB2015.7752.3
PB2015.7752	PB2015.7752.4
PB2015.4419	PB2015.4419.3
PB2015.4419	PB2015.4419.2
PB2015.2370	PB2015.2370.3
PB2015.2370	PB2015.2370.2
PB2015.2370	PB2015.2370.1
PB2015.1465	PB2015.1465.1
PB2015.8322	PB2015.8322.3
PB2015.10871	PB2015.10871.1
PB2015.10871	PB2015.10871.2
PB2015.6770	PB2015.6770.1
PB2015.13116	PB2015.13116.1
PB2015.14665	PB2015.14665.1
PB2015.11251	PB2015.11251.8
PB2015.11251	PB2015.11251.9
PB2015.11251	PB2015.11251.6
PB2015.11251	PB2015.11251.7
PB2015.11251	PB2015.11251.4
PB2015.11251	PB2015.11251.5
PB2015.11251	PB2015.11251.2
PB2015.11251	PB2015.11251.3
PB2015.3895	PB2015.3895.1
PB2015.11251	PB2015.11251.1
PB2015.2501	PB2015.2501.1
PB2015.12451	PB2015.12451.1
PB2015.12451	PB2015.12451.2
PB2015.5816	PB2015.5816.1
PB2015.3542	PB2015.3542.5
PB2015.3542	PB2015.3542.4
PB2015.3542	PB2015.3542.7
PB2015.3542	PB2015.3542.6
PB2015.3542	PB2015.3542.1
PB2015.3542	PB2015.3542.3
PB2015.3542	PB2015.3542.2
PB2015.3542	PB2015.3542.9
PB2015.3542	PB2015.3542.8
PB2015.3720	PB2015.3720.2
PB2015.9350	PB2015.9350.2
PB2015.4442	PB2015.4442.1
PB2015.8349	PB2015.8349.11
PB2015.1479	PB2015.1479.4
PB2015.1479	PB2015.1479.5
PB2015.1479	PB2015.1479.6
PB2015.1479	PB2015.1479.7
PB2015.1479	PB2015.1479.1
PB2015.1479	PB2015.1479.2
PB2015.1479	PB2015.1479.3
PB2015.8042	PB2015.8042.1
PB2015.11717	PB2015.11717.3
PB2015.11717	PB2015.11717.2
PB2015.1479	PB2015.1479.8
PB2015.1479	PB2015.1479.9
PB2015.15096	PB2015.15096.2
PB2015.15096	PB2015.15096.1
PB2015.1008	PB2015.1008.1
PB2015.1008	PB2015.1008.2
PB2015.3317	PB2015.3317.1
PB2015.13950	PB2015.13950.4
PB2015.3317	PB2015.3317.3
PB2015.3317	PB2015.3317.2
PB2015.2548	PB2015.2548.2
PB2015.7907	PB2015.7907.1
PB2015.10369	PB2015.10369.1
PB2015.10369	PB2015.10369.3
PB2015.10369	PB2015.10369.2
PB2015.15258	PB2015.15258.2
PB2015.15258	PB2015.15258.1
PB2015.13950	PB2015.13950.3
PB2015.154	PB2015.154.12
PB2015.154	PB2015.154.13
PB2015.154	PB2015.154.10
PB2015.154	PB2015.154.11
PB2015.154	PB2015.154.14
PB2015.13950	PB2015.13950.1
PB2015.5962	PB2015.5962.1
PB2015.5962	PB2015.5962.3
PB2015.5962	PB2015.5962.2
PB2015.5962	PB2015.5962.5
PB2015.10661	PB2015.10661.1
PB2015.8409	PB2015.8409.4
PB2015.8409	PB2015.8409.5
PB2015.8409	PB2015.8409.2
PB2015.8409	PB2015.8409.3
PB2015.8409	PB2015.8409.1
PB2015.6294	PB2015.6294.4
PB2015.6294	PB2015.6294.5
PB2015.6294	PB2015.6294.6
PB2015.4438	PB2015.4438.1
PB2015.6294	PB2015.6294.1
PB2015.6294	PB2015.6294.2
PB2015.6294	PB2015.6294.3
PB2015.16392	PB2015.16392.11
PB2015.16392	PB2015.16392.10
PB2015.16392	PB2015.16392.13
PB2015.16392	PB2015.16392.12
PB2015.3626	PB2015.3626.3
PB2015.4999	PB2015.4999.1
PB2015.4999	PB2015.4999.2
PB2015.4999	PB2015.4999.3
PB2015.4999	PB2015.4999.4
PB2015.16574	PB2015.16574.1
PB2015.4280	PB2015.4280.1
PB2015.15070	PB2015.15070.1
PB2015.8349	PB2015.8349.15
PB2015.12849	PB2015.12849.1
PB2015.5547	PB2015.5547.2
PB2015.15283	PB2015.15283.1
PB2015.5547	PB2015.5547.1
PB2015.13512	PB2015.13512.4
PB2015.13512	PB2015.13512.1
PB2015.13512	PB2015.13512.2
PB2015.13512	PB2015.13512.3
PB2015.16542	PB2015.16542.1
PB2015.16542	PB2015.16542.2
PB2015.5789	PB2015.5789.3
PB2015.12018	PB2015.12018.1
PB2015.15046	PB2015.15046.2
